index,x,y,z
0,-0.012387112067923499,0.03612970817588887,-0.09207493321521021
1,0.011749974630550162,0.009192016466858454,-0.20546523317592832
2,0.0001778829485629978,0.006787231789720754,-0.17220560780157126
3,-0.012305738741979148,0.005609099844564683,-0.1383957303857296
4,0.011875634472558108,0.008652744386576884,-0.20551311974183403
5,-2.5372155985501107e-05,-2.4585380087546122e-05,-0.1961128146603511
6,-3.6186275398549426e-06,-5.739567536841572e-06,-0.1960994690116462
7,-1.0466336890748963e-06,1.7441018377175537e-07,-0.19609586895919806
8,-1.0654935565235224e-06,4.867511916260373e-07,-0.19610242453732277
9,0.013583064078133422,0.0062035154374452455,-0.17079084272361889
10,0.007157003169291798,-0.007599416276224759,-0.059117603563094
11,-0.007144344376509604,-0.041811369606534074,-0.06504141361886506
12,0.0038849400564395647,-0.04928308080161679,-0.09887155708883608
13,-0.020226834242191783,-0.05250130954599304,-0.031736410885963164
14,-0.008448803397717279,-0.05066344930332134,-0.06505331931627638
15,0.004116257463177887,-0.04961956105913727,-0.09887528381974212
16,-0.019998089214526674,-0.05284309951049979,-0.0317364116053729
17,-0.008221817484323738,-0.051010372922510476,-0.06504707531951039
18,-0.009242737479784787,-0.05617380164414395,-0.124179184119459
19,-0.026933109347119396,-0.04560048513767455,-0.16871499029572157
20,-0.0008580090868865656,-0.009560472092137708,-0.19610368553189725
21,0.0006727778183352746,-0.0010557415288956346,-0.1960982747026092
22,0.0006638161090439731,-0.0010745629585761545,-0.19609965415255004
23,0.0006533264607157706,-0.0010954077237794438,-0.19609769442679126
24,0.0006384794391624961,-0.0011217980196109192,-0.1960951586401486
25,-0.02101222694889549,-0.022656525230701264,-0.15708249919691963
26,-0.007965034863801202,-0.013446211731623213,-0.1666354075251679
27,-0.008025196493222779,-0.013512738414681418,-0.16616064442348694
28,-0.002368646933562258,-0.004763174397171523,-0.1687308557684445
29,-0.007775391806974295,-0.010033708275751922,-0.16312549731661788
30,-0.037797099588629195,-0.03110580849419535,-0.12448898487679033
31,-0.020448885346771285,-0.015040885225524705,-0.1455332371540826
32,-0.05258785112044436,-0.03852177845755679,-0.1019881315293696
33,2.985799172913712,-16.98825820787841,2.0271287654267267
